title,price,link
"Lenovo LOQ 2024 13th Gen Intel Core i7-13650HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 4060 8GB/MSO 21/1Yr ADP Free/3mon Game Pass/Grey/2.4Kg), 83DV00LXIN  ","1,10,490",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2MDcwOTQ0MTI1ODgzMDMwOjE3MjQ1OTI0Mzc6c3BfYnRmOjMwMDI1MDI1MTYyODAzMjo6MDo6&url=%2FLenovo-i7-13650HX-39-6cm-300Nits-83DV00LXIN%2Fdp%2FB0D3TGNY9G%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2EPXRD5XRP2ZS%26dib%3DeyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1724592437%26sprefix%3Dgaming%2Blaptop%252Caps%252C201%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 3050 Graphics 6 GB VRAM, 144Hz Display (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51  ","68,990",https://www.amazon.in//Acer-i5-13420H-Graphics-Display-ANV15-51/dp/B0CQP1T2VW/ref=sr_1_20?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592437&sprefix=gaming+laptop%2Caps%2C201&sr=8-20
"Acer ALG 12th Gen Intel Core i5 Gaming Laptop (16GB RAM/512GB SSD/4GB RTX 2050 Graphics/60Hz/Win11Home/Wifi 6) AL15G-52, 39.62cm (15.6 inch) FHD Display, Premium Metal Body, Steel Gray, 1.99KG  ","52,990",https://www.amazon.in//Acer-Graphics-Win11Home-AL15G-52-39-62cm/dp/B0D32SKB4C/ref=sr_1_15?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592461&sprefix=gaming+laptop%2Caps%2C201&sr=8-15
"Dell [Smartchoice] G15-5530 Gaming Laptop, Intel Core i5-13450HX, 16GB DDR5, 1TB, NVIDIA RTX 3050,6GB GDDR6,15.6"" (39.62cm) FHD 120Hz 250 nits,Backlit KB Orange,Win 11 + MSO'21,Dark Shadow Gray,2.65kg  ","77,490",https://www.amazon.in//Dell-Smartchoice-G15-5530-Gaming-i5-13450HX/dp/B0CRKXDX83/ref=sr_1_7?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592461&sprefix=gaming+laptop%2Caps%2C201&sr=8-7
"Dell G15-5530 Gaming Laptop, Intel Core i5-13450HX Processor, 16GB DDR5, 512GB,NVIDIA RTX 3050,6GB GDDR6, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB Orange,Win 11 + MSO'21,Dark Shadow Gray, 2.65kg  ","77,290",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo1MTc3MDMyNzI2NzgzMDAxOjE3MjQ1OTI0NDk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2NzMyMjA4NzkzMjo6MDo6&url=%2FDell-G15-5530-Gaming-i5-13450HX-Processor%2Fdp%2FB0CRKX3JRT%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%253Aamzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%26crid%3D2EPXRD5XRP2ZS%26cv_ct_cx%3Dgaming%2Blaptop%26dib%3DeyJ2IjoiMSJ9.V8BWnuIk7IFO8Y8LHdANzKVTyJunpmerzXHsnn7vwq4CG4tlXjHaApTjdnvZXrUuHDhz8S--X0By81UquaX-nA.KUH508kV012OYzIwkC1P1jf1dkDsJjITAatqihV-YP8%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26pd_rd_i%3DB0CRKX3JRT%26pd_rd_r%3Ddb47a8fc-a5d9-4829-8e74-0f7f9e2bbe97%26pd_rd_w%3DP8OiE%26pd_rd_wg%3DdpGPM%26pf_rd_p%3D6c693193-d8ab-43a0-b6bb-50a742f3faad%26pf_rd_r%3DB43KKPZ9AZPKTQ4FGCQ4%26qid%3D1724592449%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dgaming%2Blaptop%252Caps%252C201%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP Victus Gaming Laptop, 13th Gen Intel Core i5-13420H, 4GB RTX 2050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, Backlit KB, B&O, Dual Speakers (MSO, Silver, 2.37 kg), fa1307TX  ","66,990",https://www.amazon.in//HP-i5-13420H-15-6-inch-Speakers-fa1307TX/dp/B0D2LG3DRJ/ref=sr_1_18?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592449&sprefix=gaming+laptop%2Caps%2C201&sr=8-18
"MSI Thin 15, Intel 12th Gen. Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB /Cosmos Gray/1.86Kg), B12UC-1692IN  ","56,990",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MTIyNjQyNzE4ODcyNzkyOjE3MjQ1OTI0NDk6c3BfYXRmOjMwMDI0NjA5MjYyODEzMjo6MDo6&url=%2FMSI-i5-12450H-Windows-GeForce-B12UC-1692IN%2Fdp%2FB0CV9P2BB8%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2EPXRD5XRP2ZS%26dib%3DeyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1724592449%26sprefix%3Dgaming%2Blaptop%252Caps%252C201%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lenovo LOQ 2024 Intel Core i5-13450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 4050 6GB Graphics/MSO 21/1Yr ADP Free/3 Mon Game Pass/Grey/2.4Kg), 83DV007GIN  ","84,490",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo1MjgyMzI5MzE3ODEwNzI2OjE3MjQ1OTI0NjE6c3BfbXRmOjMwMDI1NDI4MzE5MDczMjo6MDo6&url=%2FLenovo-i5-13450HX-300Nits-Graphics-83DV007GIN%2Fdp%2FB0D49W5KZP%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2EPXRD5XRP2ZS%26dib%3DeyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1724592461%26sprefix%3Dgaming%2Blaptop%252Caps%252C201%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell G15-5530 Gaming Laptop, Intel Core i5-13450HX Processor, 16GB DDR5, 512GB,NVIDIA RTX 3050,6GB GDDR6, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB Orange,Win 11 + MSO'21,Dark Shadow Gray, 2.65kg  ","77,290",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4MTU0NTU5NjA5NzM5OTc4OjE3MjQ1OTI0Mzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2NzMyMjA4NzkzMjo6Mjo6&url=%2FDell-G15-5530-Gaming-i5-13450HX-Processor%2Fdp%2FB0CRKX3JRT%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%253Aamzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%26crid%3D2EPXRD5XRP2ZS%26cv_ct_cx%3Dgaming%2Blaptop%26dib%3DeyJ2IjoiMSJ9.OQw2LZf_cpKNPORPiRPs_hrMVRMnXDXHSRTZ4bWbWN8wjgcX2G1YqKWZGy7W21L3HDhz8S--X0By81UquaX-nA.r8vXu6W4HPvLIJs3PxfLm7zIYT44njfoioScSFwJa9s%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26pd_rd_i%3DB0CRKX3JRT%26pd_rd_r%3D36aa86cc-d06d-482a-91de-247f93e7933c%26pd_rd_w%3D5y5Vz%26pd_rd_wg%3DJYDOc%26pf_rd_p%3D6c693193-d8ab-43a0-b6bb-50a742f3faad%26pf_rd_r%3D52PZNRSH6ERV4MNZ94DX%26qid%3D1724592437%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dgaming%2Blaptop%252Caps%252C201%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP OMEN Gaming Laptop, 14th Gen Intel Core i7-14650HX, 8GB RTX 4060 GPU, 16.1-inch (40.9 cm), FHD, IPS, 144Hz, 300 nits, 16GB DDR5, 1TB SSD, Backlit KB, B&O (MSO, Black, 2.32 kg), wf1096TX/wf1102TX  ","1,35,490",https://www.amazon.in//HP-i7-14650HX-16-1-inch-wf1096TX-wf1102TX/dp/B0D1YL72Y6/ref=sr_1_14?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592449&sprefix=gaming+laptop%2Caps%2C201&sr=8-14
